idpackets_db,STX,length,"Sequence Number",Direct,CMD,"Sensor ID","Sensor Number",Data,Checksum,ETX,Time
11600,33,0036,80,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32363a30315d20203d3d3d3e2041444320417665725b323538395d,0e,55,"12/03/2022, 19:23:14.279175"
11601,33,0072,81,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a30315d20526563762042696f20446174612050445b315d204143545b385d2042525b31385d2048525b38395d20585b305d20595b355d204261745b3130305d20436f6d5b305d20525353495b2d31305d,00,55,"12/03/2022, 19:23:14.472133"
11602,33,006f,82,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32363a30345d2052656376204b4120504952205b325d204261745b3230305d2053656e73696e6720506572696f645b31343430305d205265706f727420506572696f645b31343430305d20525353495b2d33335d,8a,55,"12/03/2022, 19:23:16.910770"
11603,33,0073,83,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a30345d20526563762050495220446174612049445b307834345d204e756d5b3078325d20436e745b305d204d61736b5b3078202020305d204261745b3130305d20436f6d5b305d20525353495b2d33335d,f9,55,"12/03/2022, 19:23:17.104323"
11604,33,0072,84,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a30365d20526563762042696f20446174612050445b315d204143545b335d2042525b32315d2048525b38395d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,fe,55,"12/03/2022, 19:23:19.421194"
11605,33,002e,85,91,36,23,01,ffff0c52005200460046004b004b0033004b00310031005900590000000000061a066400f6ff,7f,55,"12/03/2022, 19:23:19.615166"
11606,33,0052,86,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32363a30375d2053656e736f722044617461205265706f72742049445b307832335d204e756d5b3078315d204757204261745b3130305d,3c,55,"12/03/2022, 19:23:19.807893"
11607,33,002e,87,91,36,24,01,ffff0c0f000e00180017001c00100011000a0017000e001200150000000000061a066400f6ff,09,55,"12/03/2022, 19:23:20.001111"
11608,33,0052,88,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32363a30375d2053656e736f722044617461205265706f72742049445b307832345d204e756d5b3078315d204757204261745b3130305d,3f,55,"12/03/2022, 19:23:20.193662"
11609,33,001d,89,91,36,25,01,ffff0c4d00000001000600000000061a066400f6ff,70,55,"12/03/2022, 19:23:24.265008"
11610,33,0052,8a,91,80,ff,ff,5b475d5b303030302e30302e30305d5b30363a32363a30375d2053656e736f722044617461205265706f72742049445b307832355d204e756d5b3078315d204757204261745b3130305d,42,55,"12/03/2022, 19:23:24.459155"
11611,33,0072,8b,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a31315d20526563762042696f20446174612050445b315d204143545b345d2042525b32315d2048525b35315d20585b305d20595b375d204261745b3130305d20436f6d5b305d20525353495b2d31305d,f8,55,"12/03/2022, 19:23:29.182685"
11612,33,0072,8c,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a31365d20526563762042696f20446174612050445b315d204143545b385d2042525b32335d2048525b35365d20585b305d20595b365d204261745b3130305d20436f6d5b305d20525353495b2d31305d,08,55,"12/03/2022, 19:23:29.376789"
11613,33,0073,8d,91,80,ff,ff,5b4556454e545d5b303030302e30302e30305d5b30363a32363a32315d20526563762042696f20446174612050445b315d204143545b365d2042525b32305d2048525b35315d20585b305d20595b31305d204261745b3130305d20436f6d5b305d20525353495b2d31305d,27,55,"12/03/2022, 19:23:34.408130"
